Model,Model_type,Train_MAE,Train_RMSE,Train_R2,MAE,RMSE,R2,Fit_time,Pred_time,Tun_Train_MAE,Tun_Train_RMSE,Tun_Train_R2,Tun_MAE,Tun_RMSE,Tun_R2,Tun_fit_time,Tun_pred_time,Full_model_time
Decision Tree,Tree-based,366.4780643436884,681.0779205398719,0.9708531615981076,408.0435949958908,763.0183505657661,0.9634237027771063,0:00:00,0:00:00,246.2301755438977,469.78041829203613,0.9861328353893597,329.2412088420975,641.307524683105,0.9741617888181073,0:00:00,0:00:00,0:00:00
SVR (RBF),Kernel / Distance-based,642.8050967636211,1390.5529337734406,0.8785009445388823,663.5520841749537,1456.309222137391,0.8667592797765821,0:00:00,0:00:00,289.5308859845239,595.3608189386368,0.9777280444845691,318.52401600068094,667.5082178225063,0.9720074149976781,0:00:00,0:00:00,0:00:00
KNeighbors,Kernel / Distance-based,0.4670626445400103,8.85443027681168,0.9999950737199693,387.50751605077033,792.3035375687064,0.9605621743961643,0:00:00,0:00:00,332.90872644689387,662.8747694204746,0.9723903546252464,384.46176728351367,791.5931823706605,0.9606328601988974,0:00:00,0:00:00,0:00:00
AdaBoost,Boosting ensemble,877.8034685966436,1353.1277998905011,0.8849529508962154,889.8635925192102,1384.466211723868,0.8795811447183098,0:00:00,0:00:00,526.1975670705816,797.5394629189432,0.9600329389952633,543.387245878289,843.1170046303938,0.9553413624639171,0:00:00,0:00:00,0:00:00
Poisson,GLM / distribution-based linear,446.8558425100235,874.6882125585709,0.9519266487622855,455.7331280363318,907.804120828514,0.9482257195572823,0:00:00,0:00:00,438.18789579665696,848.8457018517927,0.9547253232496535,444.73125103497165,875.4046884420087,0.9518554082194053,0:00:00,0:00:00,0:00:00
NuSVR,Kernel / Distance-based,1409.0962324965137,2750.3232391352817,0.5247027218227901,1413.9212620797182,2766.3144070377834,0.5192349932945546,0:00:00,0:00:00,421.535316950581,872.6729203649983,0.9521479167286394,444.3391467191955,950.5741901496187,0.9432322333514048,0:00:00,0:00:00,0:00:00
Lasso,Linear / regularized,732.4506144344479,1114.6216710451502,0.9219356378483524,751.6721305940108,1191.2565497106484,0.9108460940179809,0:00:00,0:00:00,730.8698944152491,1114.7871624680472,0.9219124551994469,750.0189269290341,1191.181040974563,0.9108573958410954,0:00:00,0:00:00,0:00:00
Bayesian Ridge,Linear / regularized,732.6322364395733,1114.6201538195444,0.9219358503709897,751.8592587895981,1191.27327087978,0.9108435911683577,0:00:00,0:00:00,732.6322364395733,1114.6201538195444,0.9219358503709897,751.8592587895981,1191.27327087978,0.9108435911683577,0:00:00,0:00:00,0:00:00
Linear,Linear / regularized,732.6358479848528,1114.6200065807711,0.9219358709951796,751.8649475549823,1191.280730021994,0.9108424746614553,0:00:00,0:00:00,,,,751.8649475549823,1191.280730021994,0.9108424746614553,,,0:00:00
SGD,Online linear,732.625883350036,1114.6306900731663,0.9219343745183166,751.8375326533532,1191.2312063500908,0.9108498873831473,0:00:00,0:00:00,732.7013111900251,1115.306917387057,0.9218396236342374,751.7707362710784,1191.3607422799428,0.9108304977456828,0:00:00,0:00:00,0:00:00
Ridge,Linear / regularized,732.5893344402238,1114.6755264433175,0.9219280939633144,751.7770142867898,1191.1819594607166,0.9108572583703393,0:00:00,0:00:00,732.9673138070403,1115.8692926492479,0.9217607815803105,751.9786343502002,1191.6750269226154,0.9107834451601018,0:00:00,0:00:00,0:00:00
ElasticNet,Linear / regularized,909.8121207123739,1340.404346152427,0.8871063524815974,922.9943702549159,1384.6615377831988,0.8795471639689256,0:00:00,0:00:00,734.0623235951936,1118.0322881973325,0.9214571705739123,752.8101113623685,1193.113420683298,0.910567940124814,0:00:00,0:00:00,0:00:00
Passive Aggressive,Online linear,643.4749372155795,1238.6058468849697,0.9036028704560731,661.2217677438408,1323.477907036065,0.8899568118742881,0:00:00,0:00:00,730.4185200196503,1116.3835800131574,0.9216886464044863,749.5919211817442,1193.4730313221157,0.9105140214171208,0:00:00,0:00:00,0:00:00
Huber,Robust linear,642.2595300811562,1196.9664694765845,0.9099752715975207,662.1043748348393,1289.8043947361907,0.8954852762704049,0:00:00,0:00:00,730.1975053927627,1116.2544708240557,0.9217067586929357,749.7379117299386,1195.1061313505127,0.9102689559048849,0:00:00,0:00:00,0:00:00
RANSAC,Robust linear,654.0623121038752,1165.6635293413026,0.9146223360399067,674.0513112862972,1256.3119309037163,0.900842689068409,0:00:00,0:00:00,720.4126860283685,1119.5465037988597,0.921244276337553,741.2164734396579,1201.3535177499664,0.9093283704451576,0:00:00,0:00:00,0:00:00
Quantile,Linear / quantile,638.6372529040426,1231.2520774864233,0.9047441179295785,657.6185466853373,1322.2934881556369,0.8901536854415713,0:00:00,0:00:00,638.6372529040426,1231.2520774864233,0.9047441179295785,657.6185466853373,1322.2934881556369,0.8901536854415713,0:00:00,0:00:00,0:00:00
SVR (linear),Kernel / Distance-based,643.7065308364519,1254.4801874793889,0.9011161279924996,659.7576391327596,1330.255714279523,0.8888268174188825,0:00:00,0:00:00,638.97097746789,1237.1663160384373,0.9038268093358278,657.2016357002608,1323.4477885504668,0.8899618203394039,0:00:00,0:00:00,0:00:00
Gamma,GLM / distribution-based linear,4094.4838229632182,625005.3137682936,-24544.126223044448,1097.1674591233864,3580.224632892473,0.19471367391105876,0:00:00,0:00:00,2304.659828781038,3251.7055049092246,0.33561432055162155,2301.818894233597,3228.2118975244866,0.34528266535362695,0:00:00,0:00:00,0:00:00
Dummy,Baseline,3031.540987723901,3989.340213615892,0.0,3031.978404952618,3989.652929309924,-1.3619910310680439e-08,0:00:00,0:00:00,,,,3031.978404952618,3989.652929309924,-1.3619910310680439e-08,,,0:00:00
Total,,,,,,,,00:00:00,00:00:00,,,,,,,00:00:00,00:00:00,00:00:00
