target_cat,count,mean_actual,mean_predicted,mean_bias,MAE,RMSE,MAE_pct,RMSE_pct,MAPE_pct,mean_relative_error_pct
0-1500,4002.0,841.460019990005,846.383717356099,4.923697366094043,61.04619193404202,81.09659486165579,7.25479410593591,9.637605226047349,7.372974411359221,1.0076366019173235
1500-3000,2065.0,2185.4174334140434,2213.9013348943085,28.483901480265303,142.86176781197878,232.14709486323667,6.537047139264426,10.622551614799656,6.45745256601334,1.2705586570311447
3000-4500,1340.0,3774.411194029851,3843.9036026669414,69.49240863709056,267.8589619749196,376.98579339726473,7.096708551484896,9.987936502349278,7.130171728229293,1.8195922704210326
4500-6000,1071.0,5166.044817927171,5175.505257552326,9.460439625154875,325.94630310455995,470.7370575543332,6.30939750993765,9.112136540526805,6.284219462745403,0.19546494807763418
6000-7500,633.0,6691.579778830964,6736.575138498676,44.995359667712584,450.83642971919727,681.9541030762389,6.737369120897779,10.191227267940874,6.764330039278095,0.7207908545064304
7500-9000,417.0,8216.299760191847,8265.89756978778,49.59780959593325,499.3935926466484,727.778274205227,6.078083896916972,8.857737612390054,6.101574810718534,0.6092455947757578
9000-10500,313.0,9709.329073482428,9742.842531357262,33.513457874834,682.4698114056141,968.9624603657496,7.029011028882904,9.979705631897113,7.03048228108696,0.3648086505128563
10500-12000,254.0,11211.444881889764,11241.72969665539,30.28481476562475,728.9768048638309,1095.128372936451,6.502077230396703,9.767950379932294,6.503970197635416,0.2562780379908714
12000-13500,201.0,12733.154228855721,13165.555686371841,432.40145751611874,1104.4248678846616,1520.2129829409773,8.673615728158127,11.939013347501037,8.67556353902054,3.406101844907121
13500-15000,161.0,14201.335403726707,14260.358667368524,59.023263641814246,841.5188060797238,1123.0209346874617,5.925631513913071,7.907854457072812,5.9219070720093745,0.4085144187491575
15000-16500,145.0,15747.386206896552,15391.240143535117,-356.14606336143777,816.1047987549431,1041.5239349751814,5.182477828590568,6.613947999313353,5.167180501520083,-2.2025217364946794
16500-18000,124.0,17212.0564516129,16165.397882292698,-1046.6585693202046,1074.3220817601746,1275.4917664059255,6.241683466355947,7.410455397887114,6.2295528244984,-6.065050704543285
18000-18823,62.0,18385.983870967742,16669.149384093085,-1716.8344868746544,1716.8344868746544,1961.0433704881996,9.337735195045013,10.665969165701114,9.309886501774251,-9.309886501774251
