Model,Model_type,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_ROC_AUC,Accuracy,Precision,Recall,F1,ROC_AUC,Fit_time,Pred_time,Tun_Train_Accuracy,Tun_Train_Precision,Tun_Train_Recall,Tun_Train_F1,Tun_Train_ROC_AUC,Tun_Accuracy,Tun_Precision,Tun_Recall,Tun_F1,Tun_ROC_AUC,Tun_fit_time,Tun_pred_time,Full_model_time
Passive Aggressive Classifier,Logistic / regularized linear,0.6791573971078977,0.5759205626810096,0.27940586109995985,0.3762670631166374,0.7022014035087518,0.682239525398591,0.5828848223896663,0.2898822269807281,0.387200572041473,0.6982611050246502,0:00:00,0:00:00,0.7630237300704487,0.6188437909155,0.8222266827244747,0.7061831973336398,0.8454439717412712,0.7624212087504635,0.6171828171828172,0.8268201284796574,0.706784120809976,0.8470655734519101,0:01:28,0:00:00,0:01:29
KNeighbors Classifier,Distance-based,0.8537495365220615,0.8216973399895686,0.7378562826174228,0.77752317834103,0.9284329113182033,0.7766963292547274,0.7051004636785162,0.6105460385438972,0.6544254769760436,0.8277742862443689,0:00:00,0:00:15,1.0,1.0,1.0,1.0,1.0,0.8002410085279941,0.7357590217715478,0.6603319057815846,0.6960078995627028,0.8540693726991051,0:03:04,0:00:41,0:04:02
Linear Discriminant Analysis,Discriminant analysis,0.7504634779384501,0.6684677419354839,0.5545965475712565,0.6062312586849996,0.8203961072121804,0.7478680014831294,0.6620931716656031,0.555406852248394,0.604075691411936,0.8210941191224324,0:00:00,0:00:00,0.7399888765294772,0.5946357817738495,0.7832195905258932,0.6760221760221761,0.8232811749659383,0.7410085279940675,0.5951515151515151,0.788543897216274,0.6783329495740271,0.824306376249361,0:00:42,0:00:00,0:00:43
Ridge Classifier,Logistic / regularized linear,0.7493511308861698,0.672514619883041,0.5386056469958518,0.598157229900431,0.8201903533806105,0.7474045235446792,0.6679960119641076,0.5380085653104925,0.5959970348406227,0.8208622077537194,0:00:00,0:00:00,0.7400120504263997,0.5946852294090748,0.7830857754583166,0.6760042741213504,0.8232618873974339,0.7404523544679273,0.5945836701697655,0.7874732334047109,0.6775679410409949,0.8242768844108191,0:00:14,0:00:00,0:00:15
Logistic Regression L1,Logistic / regularized linear,0.7781794586577679,0.7048955314930608,0.6184932423390874,0.6588738417676407,0.844637637042432,0.778828327771598,0.7045454545454546,0.6223233404710921,0.6608868675383741,0.8458212607840684,0:00:07,0:00:00,0.778596588802373,0.7053313023610054,0.6196306704134885,0.6597093603077362,0.8448255455440479,0.7792918057100482,0.7054898392478011,0.6225910064239829,0.661453149438362,0.8459828396214842,0:04:15,0:00:00,0:04:24
Logistic Regression ElasticNet,Logistic / regularized linear,0.7778318502039303,0.7046513404109066,0.6172889067308979,0.6580833838581975,0.8442120106229598,0.7777159807193178,0.7028502122498483,0.6204496788008566,0.659084446971851,0.8454115253953197,0:00:25,0:00:00,0.7785270671116055,0.7054517727792604,0.6190285026093938,0.6594205480916575,0.8447640084511763,0.7791064145346681,0.7050621400424371,0.6225910064239829,0.6612651030561478,0.8459292836572855,0:08:28,0:00:00,0:08:54
SVC (linear),SVM / margin-based,0.7746570263255469,0.6897529069767442,0.6350194031847987,0.6612554866578416,0.8422127501307766,0.7731738969225065,0.6855744313273827,0.6373126338329764,0.6605631849077542,0.8434139752295884,0:02:06,0:02:15,0.7750046347793845,0.6897326280704297,0.6368928141308712,0.6622604097818903,0.8425475273821087,0.7732665925101965,0.6853448275862069,0.6383832976445396,0.6610310421286031,0.8437580846352759,0:07:58,0:02:21,0:14:41
Linear SVC,SVM / margin-based,0.769674638487208,0.6924436928280421,0.6027030643650475,0.6444643176533715,0.8397773192218261,0.7696514645902856,0.6918123275068997,0.6038543897216274,0.6448477919108189,0.8410436588523796,0:00:00,0:00:00,0.7757925472747497,0.6907709011943539,0.6384985949417904,0.6636069677688536,0.8429322184222083,0.7732665925101965,0.6853448275862069,0.6383832976445396,0.6610310421286031,0.8441596215206462,0:03:54,0:00:00,0:03:55
Logistic Regression L2,Logistic / regularized linear,0.7772525027808677,0.7039926571821936,0.6158169409875552,0.6569593147751606,0.8439221372791159,0.7765109380793475,0.7015515667782172,0.617237687366167,0.6566994162039015,0.8451135705271697,0:00:00,0:00:00,0.778550241008528,0.7053176900807557,0.6194299478121237,0.6595896266742661,0.8447842377445233,0.7789210233592881,0.7047590178842074,0.6223233404710921,0.6609808102345416,0.8459515258933029,0:00:28,0:00:00,0:00:29
Quadratic Discriminant Analysis,Discriminant analysis,0.7326659251019652,0.6128840042372882,0.6193630402783353,0.6161064891846921,0.7767947842752237,0.725064886911383,0.6012624934245134,0.6118843683083511,0.6065269302202175,0.7722844051712516,0:00:00,0:00:00,0.6896088246199481,0.5356290174471993,0.780543289174361,0.6352992430430757,0.779317828803988,0.6839080459770115,0.5297445255474452,0.7770342612419701,0.6299913194444444,0.7749625829415258,0:00:51,0:00:00,0:00:52
Nearest Centroid Classifier,Distance-based,0.6225435669262143,0.46934673366834173,0.687408002141041,0.5578238679552612,0.6871127322631486,0.6307934742306266,0.47718455569924256,0.6913811563169164,0.5646518745218057,0.6846712506422161,0:00:00,0:00:00,0.6367028179458658,0.48254620123203285,0.6761006289308176,0.5631565748042466,0.6871081066625357,0.6390433815350389,0.4847608024691358,0.672644539614561,0.5634529147982063,0.6846709090379087,0:00:59,0:00:00,0:01:00
Bernoulli NB,Naive Bayes,0.6294030404152763,0.4754390908237062,0.6773718720727954,0.558719646799117,0.6886548659956861,0.6316277345198369,0.4774450341167551,0.6742505353319058,0.5590324012427874,0.6879053135107691,0:00:00,0:00:00,0.6294030404152763,0.4754390908237062,0.6773718720727954,0.558719646799117,0.6886078058466814,0.6316277345198369,0.4774450341167551,0.6742505353319058,0.5590324012427874,0.6878661428835169,0:00:05,0:00:00,0:00:06
Gaussian NB,Naive Bayes,0.6281284760845384,0.47419248980357226,0.6767697042687006,0.5576536097251702,0.6963809723039056,0.6260659992584353,0.47198194810078975,0.6718415417558886,0.5544510713496797,0.6934244814598437,0:00:00,0:00:00,0.6281284760845384,0.47419248980357226,0.6767697042687006,0.5576536097251702,0.6963809723039056,0.6260659992584353,0.47198194810078975,0.6718415417558886,0.5544510713496797,0.6934244814598437,0:00:03,0:00:00,0:00:04
Dummy Classifier,Baseline,0.653642936596218,0.0,0.0,0.0,0.5,0.653689284390063,0.0,0.0,0.0,0.5,0:00:00,0:00:00,,,,,,0.653689284390063,0.0,0.0,0.0,0.5,,,0:00:00
Total,,,,,,,,,,,,00:06:44,00:10:48,,,,,,,,,,,05:43:00,00:11:01,06:12:07
