Threshold,Accuracy,Precision,Recall,F1
0.3500000000000001,0.9105487578791249,0.8520965692503176,0.8974839400428265,0.8742015382609829
0.40000000000000013,0.9115684093437152,0.8624283480979676,0.8859743040685225,0.8740427779244785
0.45000000000000007,0.9118464961067854,0.8710365041300293,0.875,0.8730137535051409
0.5500000000000002,0.9132369299221357,0.8919372900335947,0.8527837259100642,0.8719211822660099
0.5000000000000001,0.9122172784575454,0.8815321477428181,0.8624197002141327,0.8718711946962522
0.30000000000000004,0.907397107897664,0.8374845869297164,0.9089935760171306,0.8717751251443974
0.6000000000000002,0.9134223210975158,0.9023549684089603,0.8410064239828694,0.8706012745912995
0.25000000000000006,0.9030404152762328,0.8208492366412213,0.9210385438972163,0.8680625630676084
0.6500000000000001,0.9120318872821653,0.9131337088645123,0.8244111349036403,0.8665072443381628
0.7000000000000002,0.9098071931776047,0.9210606522401706,0.8088865096359743,0.8613367535984039
0.20000000000000004,0.8948832035595106,0.7986685032139578,0.9312098501070664,0.8598615916955017
0.7500000000000002,0.9075824990730441,0.9297144650141199,0.7930942184154176,0.8559872887476527
0.15000000000000002,0.8845939933259177,0.7735558972106303,0.9427194860813705,0.8498009410061528
0.8000000000000002,0.9011865035224323,0.9362745098039216,0.7668629550321199,0.8431430253090053
0.8500000000000002,0.8952539859102707,0.9490006891798759,0.737152034261242,0.8297680024103645
0.1,0.8601223581757509,0.7246318337704256,0.961456102783726,0.8264120556769815
0.9000000000000002,0.8776418242491657,0.9603658536585366,0.6745182012847966,0.7924528301886793
