Prediction_Type,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC
Normal Prediction,0.5,0.9122172784575454,0.8815321477428181,0.8624197002141327,0.8718711946962522,0.9682386942638411
Best Threshold Prediction,0.3500000000000001,0.9105487578791249,0.8520965692503176,0.8974839400428265,0.8742015382609829,0.9682386942638411
